Facility Id,FRS Id,Facility Name,City,State,Zip Code,Address,County,Latitude,Longitude,Primary NAICS Code,Industry Type (subparts),Industry Type (sectors),Total reported direct emissions,CO2 emissions (non-biogenic),Methane (CH4) emissions ,Nitrous Oxide (N2O) emissions ,HFC emissions,PFC emissions,SF6 emissions ,NF3 emissions,Other Fully Fluorinated GHG emissions,HFE emissions,Very Short-lived Compounds emissions,Other GHGs (metric tons CO2e),Biogenic CO2 emissions (metric tons),Stationary Combustion,Electricity Generation,Adipic Acid Production,Aluminum Production,Ammonia Manufacturing,Cement Production,Electronics Manufacture,Ferroalloy Production,Fluorinated GHG Production,Glass Production,HCFC22 Production from HFC23 Destruction,Hydrogen Production,Iron and Steel Production,Lead Production,Lime Production,Magnesium Production,Miscellaneous Use of Carbonates,Nitric Acid Production,Petroleum and Natural Gas Systems - Offshore Production,Petroleum and Natural Gas Systems - Processing,Petroleum and Natural Gas Systems - Transmission/Compression,Petroleum and Natural Gas Systems - Underground Storage,Petroleum and Natural Gas Systems - LNG Storage,Petroleum and Natural Gas Systems - LNG Import/Export,Petrochemical Production,Petroleum Refining,Phosphoric Acid Production,Pulp and Paper Manufacturing,Silicon Carbide Production,Soda Ash Manufacturing,Titanium Dioxide Production,Underground Coal Mines,Zinc Production,Municipal Landfills,Industrial Wastewater Treatment,Manufacture of Electric Transmission and Distribution Equipment,Industrial Waste Landfills,CO2 used for NH3 / Lime?,Supplier of CO2?,CEMS?
1002470,1.10E+11,WETUMKA GAS PROCESSING PLT,WETUMKA,OK,74883,8325 E 1292,HUGHES COUNTY,35.25,-96.22,211130,"C,NN-FRAC,W-PROC,W-UNSTG","Natural Gas and Natural Gas Liquids Suppliers,Petroleum and Natural Gas Systems",32642.26,23736.6,8892.25,13.41,,,,,,,,,,23725.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1003960,1.10E+11,WEXFORD COUNTY LANDFILL,Manton,MI,49663,990 North Mackinaw Trail,WEXFORD COUNTY,44.34,-85.41,562212,"C,HH",Waste,148655.38,14.6,148615.75,25.03,,,,,,,,,6975.2,50.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148605,,,,N,N,N
1005918,1.10E+11,WHEATLAND TUBE COMPANY - COUNCIL,WHEATLAND,PA,16161,One COUNCIL AVE,MERCER COUNTY,41.19,-80.49,331210,C,Metals,40137.15,40095.5,19,22.65,,,,,,,,,,40137.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1004094,1.10E+11,WHEELABRATOR BALTIMORE LP,BALTIMORE,MD,21230,1801 OLD ANNAPOLIS ROAD,BALTIMORE CITY,39.27,-76.63,562213,C,Waste,271368.31,256655,5737.25,8976.06,,,,,,,,,369332,271368.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1006369,1.10E+11,WHEELABRATOR CONCORD COMPANY LP,CONCORD (PENACOOK),NH,3303,11 WHITNEY ROAD,MERRIMACK COUNTY,43.29,-71.58,562213,C,Waste,82278.27,78667.7,1407.75,2202.82,,,,,,,,,81278,82278.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1006282,1.10E+11,WHEELABRATOR FALLS,MORRISVILLE,PA,19067,1201 NEW FORD MILL ROAD,BUCKS COUNTY,40.16,-74.77,562213,C,Waste,177566.18,168512,3530.75,5523.43,,,,,,,,,255418,177566.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1004279,1.10E+11,"WHEELABRATOR GLOUCESTER COMPANY, L.P.",WESTVILLE,NJ,8093,,GLOUCESTER COUNTY,39.87,-75.14,562213,C,Waste,64247.74,60861.5,1320.5,2065.74,,,,,,,,,89432,64247.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1004968,1.10E+11,WHEELABRATOR HUDSON FALLS LLC,HUDSON FALLS,NY,12839,93 RIVER STREET,WASHINGTON COUNTY,43.31,-73.59,562213,C,Waste,65506.04,62424.8,1201.75,1879.49,,,,,,,,,76883,65506.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1006267,1.10E+11,WHEELABRATOR MILLBURY INC,MILLBURY,MA,1527,331 SOUTHWEST CUTOFF,WORCESTER COUNTY,42.22,-71.77,562213,C,Waste,233394.66,222761,4146.5,6487.16,,,,,,,,,258883,233394.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1004101,1.10E+11,WHEELABRATOR NORTH ANDOVER INC.,NORTH ANDOVER,MA,1845,285 HOLT ROAD,ESSEX COUNTY,42.73,-71.12,562213,C,Waste,182659.43,173740,3478.25,5441.18,,,,,,,,,199894,182659.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
